,Site_Code,Block_Code,Treatment_Code,Vial_Code,Viable_Seeds,NViable_Seeds,Damaged_Seeds,Missing_Seeds,Insects,Flowers
434,construction,B10,Predator Model,2,0,0,18,47,1,65
435,campus,B11,Predator Exclusion,2,61,15,13,0,1,89
436,rapseed,B26,Predator Exclusion,2,43,4,0,1,0,48
437,ditch,B40,Control,2,84,6,1,4,1,95
438,construction,B24,Control,2,61,3,0,9,0,73
439,campus,B2,Pollinator Exclusion,2,5,54,0,12,0,71
440,rapseed,B26,Predator Model,2,56,11,0,5,0,72
441,rapseed,B28,Predator Exclusion,2,64,1,0,9,0,74
442,construction,B18,Predator Exclusion,2,4,19,18,49,1,90
443,campus,B21,Control,2,26,11,42,30,1,109
444,ditch,B40,Pollinator Exclusion,2,0,30,12,20,0,62
445,campus,B4,Predator Model,2,28,34,9,-2,0,69
446,construction,B39,Predator Exclusion,2,0,55,0,20,0,75
447,campus,B6,Control,2,27,0,12,26,0,65
448,campus,B13,Control,2,32,3,8,20,0,63
449,campus,B13,Pollinator Exclusion,2,3,34,0,29,0,66
450,campus,B2,Control,2,60,3,0,15,2,78
451,campus,B6,Pollinator Exclusion,2,2,67,0,-1,1,68
452,campus,B6,Predator Model,2,8,22,14,28,0,72
453,campus,B13,Predator Exclusion,2,18,8,19,12,2,57
454,campus,B5,Pollinator Exclusion,2,15,51,4,13,0,83
455,construction,B16,Predator Exclusion,2,29,3,16,22,1,70
456,rapseed,B26,Pollinator Exclusion,2,0,54,10,19,0,83
457,campus,B6,Pollinator Exclusion,2,7,54,0,5,0,66
458,ditch,B47,Control,2,57,3,0,15,0,75
459,rapseed,B27,Predator Exclusion,2,53,0,0,6,0,59
460,campus,B2,Pollinator Exclusion,2,8,23,6,57,0,94
461,campus,B11,Control,2,34,34,0,28,1,96
462,campus,B11,Predator Model,2,54,19,0,-5,7,68
463,campus,B13,Predator Model,2,58,24,0,8,0,90
464,campus,B1,Predator Model,2,30,33,0,15,0,78
465,construction,B14,Control,2,64,20,0,-1,0,83
466,rapseed,B27,Control,2,57,14,0,0,0,71
467,rapseed,B31,Predator Model,2,34,60,0,4,0,98
468,construction,B14,Predator Exclusion,2,56,20,0,2,0,78
469,construction,B18,Predator Model,2,37,15,0,9,0,61
470,rapseed,B17,Predator Exclusion,2,0,75,0,77,1,152
471,construction,B20,Control,2,52,17,0,5,0,74
472,rapseed,B30,Predator Model,2,48,26,0,14,0,88
473,campus,B5,Predator Exclusion,2,38,24,0,7,0,69
474,campus,B6,Predator Exclusion,2,17,44,31,-18,0,74
475,ditch,B48,Predator Model,2,84,0,0,5,0,89
476,campus,B1,Control,2,54,12,0,8,0,74
477,campus,B8,Predator Model,2,42,16,0,14,0,72
478,construction,B34,Predator Exclusion,2,30,22,0,8,0,60
479,campus,B1,Predator Model,2,34,12,0,8,0,54
480,construction,B24,Predator Model,2,60,20,0,40,0,120
481,rapseed,B25,Pollinator Exclusion,2,3,47,0,22,0,72
482,ditch,B37,Control,2,80,1,23,-36,0,68
483,rapseed,B26,Control,2,38,8,0,17,0,63
484,rapseed,B32,Predator Exclusion,2,47,9,0,8,0,64
485,construction,B19,Predator Exclusion,2,37,12,0,17,1,66
486,ditch,B43,Predator Exclusion,2,61,4,1,10,0,76
487,construction,B34,Predator Model,2,38,15,2,21,0,76
488,campus,B12,Predator Exclusion,2,44,35,0,-8,0,71
489,campus,B3,Predator Model,2,72,12,0,6,1,90
490,rapseed,B23,Control,2,27,16,0,19,0,62
491,construction,B14,Control,2,65,4,0,12,0,81
492,rapseed,B32,Predator Model,2,52,4,0,7,0,63
493,campus,B13,Predator Model,2,62,10,0,-1,0,71
494,construction,B20,Predator Model,2,54,6,0,1,0,61
495,campus,B11,Pollinator Exclusion,2,9,0,0,83,0,92
496,rapseed,B17,Predator Model,2,1,31,0,38,0,70
497,rapseed,B27,Predator Model,2,42,3,0,7,0,52
498,rapseed,B23,Pollinator Exclusion,2,7,43,0,25,0,75
499,rapseed,B29,Predator Exclusion,2,0,65,0,5,0,70
500,rapseed,B17,Predator Exclusion,2,2,43,0,37,0,82
501,ditch,B45,Control,2,12,27,0,31,0,70
502,ditch,B45,Control,2,58,5,0,13,0,76
503,construction,B39,Control,2,37,23,0,8,0,68
504,ditch,B47,Pollinator Exclusion,2,21,22,0,41,0,84
505,rapseed,B30,Pollinator Exclusion,2,1,55,0,5,0,61
506,campus,B6,Predator Model,2,31,33,0,8,0,72
507,construction,B24,Pollinator Exclusion,2,5,75,0,6,0,86
508,construction,B34,Predator Exclusion,2,5,5,42,27,0,79
509,campus,B2,Control,2,36,33,0,18,0,87
510,construction,B34,Pollinator Exclusion,2,10,31,0,40,0,81
511,ditch,B38,Predator Exclusion,2,74,10,0,-6,0,78
512,campus,B2,Predator Exclusion,2,29,49,0,6,0,84
513,rapseed,B31,Predator Exclusion,2,48,18,0,2,0,68
514,construction,B34,Control,2,45,35,0,1,0,81
515,construction,B24,Pollinator Exclusion,2,8,35,0,19,0,62
516,construction,B19,Control,2,47,16,0,13,0,76
517,campus,B2,Predator Model,2,74,4,0,-2,0,76
518,construction,B24,Control,2,29,39,0,5,0,73
